QKEY,INTERVIEW_START_W68,INTERVIEW_END_W68,DEVICE_TYPE_W68,LANG_W68,FLOYDFOL_W68,FLOYDDISC_W68,FLOYDCOVER_W68,FLOYDATTN_W68,FLOYDATTN2_a_W68,FLOYDATTN2_b_W68,FLOYDATTN2_c_W68,FLOYDATTN2_d_W68,FLOYDATTN2_e_W68,FLOYDATTN2_f_W68,FLOYDPROT_a_W68,FLOYDPROT_b_W68,FLOYDPROT_c_W68,FLOYDPROT_d_W68,FLOYDTRUMPFOL_W68,FLOYDTRUMPMSSG_W68,FLOYDSTLOCFOL_W68,FLOYDSM_W68,LGLSTATUS_W68,DACA2018_W68,RACESURV20_W68,COVIDRACE2_a_W68,COVIDRACE2_b_W68,COVIDRACE2_c_W68,COVIDRACE2_d_W68,RACESURV53_a_W68,RACESURV53_b_W68,RACESURV53_e_W68,RACESURV53_f_W68,RACESURV53_h_W68,COVIDRACE3_a_W68,COVIDRACE3_b_W68,COVIDRACE3_c_W68,COVIDRACE3_d_W68,COVIDRACE7_a_W68,COVIDRACE7_b_W68,COVIDRACE7_c_W68,COVIDRACE7_d_W68,COVIDRACE8_W68,COVIDFOL_W68,COVIDCOVER1_W68,COVIDTRUMPFOL_W68,COVIDFACTS_a_W68,COVIDFACTS_b_W68,COVIDFACTS_c_W68,COVIDFACTS_d_W68,COVIDFACTS_e_W68,COVIDDEAL_W68,COVIDNEWSCHNG_a_W68,COVIDNEWSCHNG_b_W68,COVIDNEWSCHNG_c_W68,COVIDNEWSCHNG_d_W68,COVIDNEWSCHNG_e_W68,COVIDTOGETHER_W68,COVIDINFODIFF_W68,COVIDLOCINFO_W68,NEWSHEARD_l_W68,NEWSHEARD_m_W68,NEWSHEARD_n_W68,NEWSHEARD_o_W68,NEWSHEARD_g_W68,NEWSHEARD_i_W68,NEWSHEARD_j_W68,RACESURV14_W68,EQUALEFFECT_a_W68,EQUALEFFECT_b_W68,EQUALEFFECT_c_W68,EQUALEFFECT_d_W68,BLM_W68,RACEACTIVISM_a_W68,RACEACTIVISM_b_W68,RACEACTIVISM_c_W68,RACEACTIVISM_d_W68,RACEACTIVISM_e_W68,COVIDMV_a_W68,COVIDMV_b_W68,COVIDMVWY_W68,COVIDMVWRE_W68,COVIDMVIN_a_W68,COVIDMVIN_b_W68,COVIDMVIN_c_W68,COVIDMVIN_d_W68,COVIDMVKNW_W68,COVIDCOUNT_W68,COVIDCOUNT2_W68,COVIDSTYHM_W68,COVIDUNEMPLOY_W68,COVIDANTIBODIES_W68,KNOWFAUCI_W68,COVIDMASK1_W68,COVIDMASK2_W68,COVIDMASK3_W68,COVIDPLANHRD_W68,COVIDPLANTRUE_W68,COVIDPLANWATCH_W68,CAMPNII_W68,CAMP20INT_W68,CANDNEWS_a_W68,CANDNEWS_b_W68,GROUP_TRUST_a_W57,NEWS_MOST_W57,TALKPOL_W57,FOLELECT_W57,CR_PARTYNEWSUSE_W57,CR_NEWS_INFLU_W57,CR_DIG_SAV_W57,CR_MAINSOPOL_GROUPS_W57,CR_KNOWLEDGE_INDEX_W57,COVIDNEWSRELY_W66,CR_COVID_DEATHS_CNTY_W68,CR_COVID_DEATHS_PERCAP_W68,F_METRO,F_CREGION,F_AGECAT,F_SEX,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_RACECMB,F_RACETHNMOD,F_CITIZEN,F_NATIVITY2,F_MARITAL,F_RELIG,F_BORN,F_ATTEND,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSUM_FINAL,F_INCOME,F_INCOME_RECODE,F_REG,F_IDEO,F_ACSWEB,F_VOLSUM,F_INC_TIER2,F_HISP_ORIGIN,F_YEARSINUS,F_PARTYSUMIDEO,FLAG_W68,WEIGHT_W68
102009,6/5/2020 17:48,6/5/2020 18:03,3,1,1,2,2,3,3,3,3,3,3,3,1,2,1,1,1,4,1,2,2,1,2,1,1,2,1,2,1,1,1,2,2,2,2,1,1,1,1,1,2,1,2,1,4,2,2,3,2,3,3,3,3,1,3,1,1,2,1,1,1,2,1,1,1,4,2,2,1,2,1,1,3,2,1,2,3,3, , , , , , ,2,5,1,2,3,2,3,1,2,3,2,4,2,1,2,2,1,1,4,2,1,5,1,1,,3,2,2,1,1,3,4,1,2,3,2,1,1,1,1,1,10, ,6,2, ,2,9,1,1,4,1,1,3,6,1,4,2,0.251451744
102932,6/5/2020 17:55,6/5/2020 18:29,1,1,1,2,2,,3,3,3,3,2,2,1,3,2,1,1,4,2,3,2,1,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,1,4,2,2,4,3,2,1,3,3,2,2,3,1,2,2,1,2,3,2,2,2,4,2,2,3,1,1,2,2,1,1,1,3,3, , , , , , ,2,1,2,2,9,2,3,1,1,4,2,4,3,1,4,1,1,2,7,1,1,5,2,,,3,7,1,3,2,3,4,1,1,6,2,1,1,1,1,1,12, ,6,2, ,2,9,1,1,5,1,1,3,6,1,4,2,0.1355446
103060,6/5/2020 22:45,6/6/2020 1:17,1,1,1,3,1,2,3,1,3,2,3,2,1,1,1,1,2,4,2,4,2,1,3,3,1,3,1,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,2,4,2,2,4,2,2,2,2,1,3,1,1,1,2,1,2,1,3,2,1,2,4,1,1,3,1,1,3,3,,1,3,3,3, , , , , , ,2,1,2,1,1,2,3,1,1,4,2,4,3,3,1,2,1,2,7,1,2,5,1,1,,3,2,2,2,1,3,4,2,2,4,2,1,1,1,1,1,12, ,6,2, ,2,,,1,3,1,2,,6,1,3,2,0.696306889
103094,6/6/2020 3:42,6/6/2020 3:58,2,1,1,1,2,2,2,2,2,2,2,2,1,2,1,1,3,4,2,1,2,2,3,3,2,1,2,1,2,2,1,2,2,2,2,2,1,1,2,1,2,1,1,1,5,2,5,5,2,3,3,2,2,,1,2,1,1,3,2,2,2,2,1,2,4,1,1,1,2,4,2,2,2,2,2,3,3, , , , , , ,2,4,2,3,5,3,5,5,1,4,2,3,2,3,3,2,2,2,5,3,2, ,2,3,,1,6,2,2,1,1,2,2,3,2,,,,,1,,2,,,4,2,2,2,3, ,,1,,,6,1,9,2,5.653774352
103379,6/5/2020 17:52,6/5/2020 18:23,3,1,1,3,4,1,3,2,2,1,3,1,3,1,1,1,1,1,1,3,2,1,2,3,1,3,3,2,1,1,1,1,2,2,2,2,1,1,1,2,1,1,3,1,1,3,3,3,3,3,2,2,1,2,1,2,1,2,2,1,1,2,2,3,2,1,3,3,1,4,4,3,3,3,1,3,3,3, , , , , , ,1,2,1,,3,1,3,1,2,4,2,1,3,1,1,1,2,4,2,1,1,2,1,3,4,3,4,2,2,1,3,4,1,2,3,2,1,1,1,1,1,1,1,2,1, ,1,9,1,1,2,1,1,,6,1,1,2,0.380600795
103406,6/9/2020 16:07,6/9/2020 16:32,2,1,2,2,2,3,2,3,3,2,3,2,1,3,1,1,3,4,2,1,2,1,3,3,1,3,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,3,4,3,1,3,3,3,2,2,3,2,2,3,2,1,2,2,2,3,2,2,2,4,1,2,2,1,1,1,2,2,1,1,3,3, , , , , , ,2,4,2,2,9,2,3,2,3,4,2,3,2,2,3,2,1,1,6,2,2,4,1,1,3,3,2,2,2,1,3,2,2,1,6,2,1,1,1,1,1,2,2,3,2, ,2,6,2,1,4,1,1,2,6,1,4,2,0.313148309
103519,6/8/2020 0:48,6/8/2020 1:09,1,1,1,1,3,3,2,3,3,3,3,2,1,2,1,1,1,4,3,2,2,1,2,3,3,3,1,2,2,2,2,2,2,2,2,2,3,1,1,2,2,1,1,1,3,2,2,1,2,3,3,3,2,3,3,3,2,2,2,1,2,1,2,1,1,4,1,2,1,1,2,3,3,3,1,3,3,3, , , , , , ,1,4,2,2,3,2,3,1,1,4,3, , ,1,3,1,2,2,7,2,1,5,2,1,,3,2,3,3,1,2,3,1,1,6,2,1,1,1,1,1,2,2,3,3,2,2,9,1,1,3,1,1,3,6,1,3,2,0.229352456
103538,6/7/2020 17:46,6/7/2020 18:16,1,1,2,3,2,3,2,2,1,3,3,3,1,1,1,1,3,4,3,4,2,1,3,,,,,2,2,2,2,2,2,2,2,2,,,,,1,2,2,3,4,2,2,2,2,3,3,3,3,1,3,2,2,1,2,2,2,2,2,1,2,4,2,1,2,2,2,3,3,3,3,4,3,3, , , , , , ,2,2,1,3,3,2,3,1,2,4,2,5,,3,4,2,2,2,7,4,2,6,2,2,,3,3,1,2,1,4,3,1,1,5,2,1,1,1,1,1,2,2,5,3,2,2,9,1,1,3,1,2,3,6,1,3,2,0.552140435
103611,6/5/2020 22:04,6/5/2020 22:23,2,1,2,3,3,1,2,3,3,3,3,2,1,1,1,2,3,3,2,4,1,2,3,3,3,3,1,2,2,2,1,2,2,2,2,2,1,3,3,3,1,1,2,4,4,2,1,2,1,3,2,2,2,2,2,2,2,2,1,2,3,3,3,2,2,3,3,4,4,2,4,1,3,3,1,3,3,3, , , , , , ,2,4,2,1,9,2,3,1,1,4,3, , ,2,2,2,2,1,5,4,3,3,3,1,1,1,2,2,3,1,1,4,2,1,6,2,1,1,1,1,6,2,2,2,3,1,1,3,3,1,3,1,1,2,6,1,2,2,0.464227587
103677,6/9/2020 18:02,6/9/2020 18:19,2,1,1,1,4,1,2,2,2,1,3,3,2,1,1,2,1,2,1,3,1,2,2,3,3,3,2,2,1,1,1,2,2,2,2,2,2,1,3,3,2,1,4,1,2,4,3,3,3,3,2,2,3,1,1,2,1,1,2,1,1,1,2,1,1,2,4,2,1,2,4,3,2,3,2,2,3,3, , , , , , ,1,5,1,2,4,2,3,1,1,4,2,4,1,1,1,1,2,3,7,1,1,2,1,1,4,3,4,3,3,1,1,2,1,2,4,2,1,1,1,1,1,2,2,4,4,1,1,9,1,1,1,1,1,3,6,1,1,2,0.716106417
103956,6/6/2020 23:35,6/6/2020 23:55,1,1,1,2,2,3,3,3,3,3,3,3,1,3,2,1,1,4,2,3,2,1,3,3,3,3,1,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,1,4,2,2,1,1,3,2,3,2,1,2,1,2,1,2,1,1,1,1,1,1,4,2,1,2,2,1,1,2,3,1,4,3,3, , , , , , ,2,5,1,2,3,2,3,1,3,4,3, , ,1,3,1,2,1,5,3,1,5,1,1,5,3,7,2,2,1,2,4,2,1,5,2,1,1,1,1,2,11, ,5,2, ,2,4,2,1,4,1,2,2,6,1,4,2,0.657801692
104210,6/8/2020 2:09,6/8/2020 2:22,2,1,1,2,2,2,2,1,2,3,2,2,1,3,1,1,4,4,2,1,2,1,3,2,1,3,1,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,3,4,3,2,3,3,2,3,3,1,1,3,3,2,2,2,2,1,3,1,2,2,4,1,1,1,1,1,3,3,2,1,1,3,3, , , , , , ,1,2,1,1,9,2,5,1,1,4,3, , ,3,2,2,2,2,7,2,3,4,3,1,,2,1,3,3,1,1,2,2,3,2,2,1,1,1,1,2,12, ,6,4,2,2,2,3,1,5,1,2,1,6,1,4,2,2.579206637
104272,6/7/2020 15:17,6/7/2020 15:31,2,1,1,1,3,2,2,1,1,2,2,2,1,3,1,1,2,3,3,4,2,1,3,1,3,3,3,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,3,2,4,3,1,3,3,1,3,3,1,1,1,2,2,2,1,1,3,2,1,1,1,4,1,1,1,1,1,1,1,2,1,1,3,3, , , , , , ,2,4,2,1,4,2,3,1,2,4,2,4,2,1,1,2,1,3,7,4,3,4,3,1,,3,7,3,3,1,2,2,1,2,3,2,1,1,1,1,1,2,2,5,2, ,2,8,1,1,4,1,1,3,6,1,4,2,0.452770586
104368,6/6/2020 18:06,6/6/2020 18:54,1,1,2,3,1,1,3,3,3,2,3,2,1,1,1,1,3,2,2,3,2,1,3,1,1,3,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,3,4,2,1,1,1,3,2,2,2,2,2,2,2,1,1,1,1,1,1,,3,4,1,2,3,1,2,3,3,3,1,3,3,3, , , , , , ,2,3,9,2,3,2,3,3,3,4,2,4,3,2,3,1,2,1,4,2,1,3,2,1,,3,3,2,2,1,3,4,1,3,2,2,1,1,1,1,5,1,1,1,3,1,1,3,3,1,2,1,1,2,6,1,1,2,1.007300369
104491,6/9/2020 15:46,6/9/2020 16:10,1,1,1,1,1,3,3,1,3,3,3,3,1,1,1,3,1,4,1,2,2,1,2,1,3,3,1,2,2,1,2,2,2,2,2,2,1,1,1,1,2,1,1,1,4,2,2,2,2,3,1,1,1,1,1,3,1,1,1,2,2,2,2,2,3,3,1,1,1,1,1,3,2,3,1,1,3,3, , , , , , ,2,1,1,2,9,3,3,5,2,4,2,3,3,1,1,2,1,2,5,2,2,5,2,2,5,3,6,3,2,1,4,4,2,2,3,2,1,1,1,6,1,12, ,6,2, ,2,6,2,1,5,1,2,2,6,4,4,2,1.349514742
104689,6/7/2020 18:00,6/7/2020 18:23,2,1,2,2,2,3,2,3,3,3,2,2,2,2,2,2,2,4,2,2,2,1,3,3,1,3,1,1,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,1,4,2,1,1,2,3,2,1,2,2,2,1,1,1,2,1,1,2,1,1,1,4,2,2,1,2,1,3,3,3,1,3,3,2, , , , , , ,2,2,2,2,4,1,3,2,2,3,2,3,3,2,1,2,1,2,4,1,2,5,2,2,3,1,2,1,2,2,2,4,2,3,2,2,1,1,1,1,5,1,2,2,2, ,2,3,3,1,3,1,1,2,6,1,3,2,0.758957167
104727,6/6/2020 10:58,6/6/2020 11:10,1,1,3,4,3,1,1,1,2,2,1,2,1,1,1,2,3,3,3,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,1,1,2,3,2,3,2,3,3,3,3,3,3,1,2,2,1,1,1,2,1,1,3,1,3,3,2,2,3,1,3,3,3,2,4,3,3,3,3,3,3,3, , , , , , ,2,5,1,1,3,2,3,3,3,4,2,2,2,3,3,2,2,2,3,2,3,7,3,2,,3,10,1,1,2,2,3,1,3,2,2,1,1,1,1,1,2,2,5,1, ,1,8,1,1,3,1,2,3,6,1,2,2,4.382051322
104937,6/6/2020 0:57,6/6/2020 1:33,1,1,1,3,1,2,3,1,2,2,3,2,1,2,1,1,1,4,1,4,2,1,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,3,1,1,2,1,1,1,4,2,2,2,2,2,3,3,3,1,2,1,2,1,1,1,1,1,1,1,1,4,2,2,1,1,1,3,3,3,1,4,3,3, , , , , , ,2,1,2,1,3,2,3,1,2,4,3, , ,2,2,1,2,1,4,2,1,5,2,1,2,3,1,2,1,1,3,4,1,1,6,2,1,1,1,1,3,12, ,6,2, ,2,8,1,1,3,1,2,3,6,1,3,2,0.3780565
105124,6/7/2020 15:15,6/7/2020 15:35,1,1,1,2,4,1,2,2,1,2,3,2,2,1,2,3,1,2,1,2,1,2,3,3,3,3,3,2,1,1,1,2,2,2,2,2,1,2,1,2,1,1,3,1,2,3,2,2,3,1,3,3,1,1,1,3,1,1,2,1,2,1,2,1,1,1,1,2,3,1,4,2,3,3,1,3,3,3, , , , , , ,1,1,1,2,3,2,3,1,1,4,3, , ,1,2,1,1,2,5,1,1,2,1,1,4,3,4,3,3,1,3,3,1,1,6,2,1,1,1,1,1,2,2,1,1, ,1,9,1,1,1,1,1,3,6,1,1,2,0.254297184
105205,6/6/2020 1:16,6/6/2020 2:50,1,1,2,3,4,1,1,1,1,3,3,1,1,1,1,2,3,1,2,4,1,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,3,3,1,2,4,2,2,4,3,4,4,1,2,2,2,3,2,3,1,1,2,2,2,1,2,2,3,1,3,4,4,2,4,3,3,3,3,4,3,3, , , , , , ,2,1,1,1,5,3,3,1,1,4,1,1,3,2,2,2,2,3,3,3,2,7,2,1,,1,4,3,3,1,2,3,2,2,4,2,1,1,1,1,1,2,2,2,1, ,1,8,1,1,2,1,1,3,6,1,1,2,0.544117974
105269,6/6/2020 3:56,6/6/2020 4:29,2,1,1,2,1,3,3,1,3,2,3,3,1,1,1,2,2,4,2,2,2,2,2,2,1,3,3,2,1,1,2,2,2,2,1,2,1,1,2,1,1,1,1,1,3,2,2,2,1,3,2,2,3,1,3,3,2,1,2,2,2,3,2,1,1,4,2,1,2,2,3,3,3,3,1,3,3,3, , , , , , ,2,5,1,2,3,2,3,1,1,3,3, , ,2,4,2,2,1,5,3,2,5,2,1,2,3,3,3,3,1,2,4,1,1,6,2,1,1,1,1,1,2,2,3,3,2,2,6,2,1,3,1,1,2,6,1,3,2,0.234201151
105959,6/5/2020 19:45,6/5/2020 20:00,1,1,2,3,2,3,3,2,2,2,3,2,1,3,1,1,2,4,3,2,2,1,2,1,3,3,1,2,2,1,1,2,2,2,2,2,1,1,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2,4,3,3,3,2,2,3,3,3,1,3,3,3, , , , , , ,1,5,1,1,3,2,3,1,1,4,2,3,3,3,4,2,1,1,4,2,2,5,1,1,3,3,7,3,2,1,4,3,2,1,6,2,1,1,1,1,2,2,2,5,2, ,2,3,3,1,4,1,1,1,6,1,4,2,0.243031792
106068,6/5/2020 18:08,6/5/2020 18:21,1,1,1,2,3,2,3,1,2,2,3,3,1,3,1,1,2,4,2,4,2,1,3,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,2,2,4,2,1,3,2,2,2,2,2,1,2,3,2,2,2,1,1,1,1,1,2,4,2,3,1,2,1,1,1,2,3,4,3,3, , , , , , ,2,5,1,2,4,2,3,1,1,4,1,4,3,1,1,1,1,4,2,1,1,4,2,1,7,3,6,2,3,1,1,4,1,1,6,2,1,1,1,1,1,9, ,6,2, ,2,8,1,1,5,1,1,3,6,1,4,2,0.296674853
